"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Central Region","South Central","Wakiso District","Bweyogerere Division","Life Care Domicilliary Clinic HC III","Nn09FXOtWqN","""""","Functional","HC III","PFP","Private"
"Northern Region","Lango","Kole District","Ayer Subcounty","Life Care Drug Shop - Kole","XFaA5EY0VNZ","""""","Functional","Drug Shop","",""
"Northern Region","Lango","Kwania District","Aduku Subcounty","LIFE CARE DRUGSHOP - Kwania","djmsZQe9Sev","""""","Functional","Drug Shop","",""
"Northern Region","Lango","Kwania District","Abongomola Subcounty","LIFE CARE DRUGSHOP - Kwania","WejXcgD2F1V","""""","Functional","Drug Shop","",""
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Life Care HC II","lowKZUx0rbK","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Lifecare Health Services HC II","T7p8JwcmMpZ","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bukedi","Tororo District","Nabuyoga Subcounty","Life Care Medical Center Siwa Clinic","hYSYUWqmgTm","""""","Functional","Clinic","PFP","Private"
"Western Region","Bunyoro","Kibaale District","Bubango Subcounty","Life Care Medical Centre","CMcioJ4UPEW","""""","Functional","Clinic","PFP","Private"
"Central Region","South Central","Kyotera District","Kirumba Subcounty","Life Care Medical Centre Clinic","QHJpPlGsRtp","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Lifecare Medical Centre HC II","Ec319SYFplT","""""","Non-Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nansana Division","Life Care Medical Centre HC III","QZ3oFe40q8F","""""","","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Care Medical Clinic HC II","b43WT7sxO7F","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Life Care Medical Clinic (Kyebando) HC II","PhsfViO0gu2","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Care Medical Clinic (Luzira) HC II","XZNjawFfE3J","""""","Functional","HC II","PNFP","CBO"
"Central Region","Kampala","Kampala District","Rubaga Division","Life Care Optical Center HC II","BMnu1Llu5Uv","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Life Centre Dormicilliary Clinic","ZP5rDXzdob4","""""","","","",""
"Central Region","Kampala","Kampala District","Kawempe Division","Life Consult and Diagnostic Medical Care Mulago HC II","doDJxqHUdxG","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Life Consult Medical HC II","Z70DgwBA14g","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Lyantonde District","Lyantonde Town Council","Life For All Doctor's Clinic","Y7dBwHO0Oti","{""type"": ""Point"", ""coordinates"": [31.15545, -0.40897]}","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Life Fountain Medical Centre HC II","VUVY3G8UPvZ","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Life Front Medical Centre HC II","olqibmTariV","""""","Non-Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Guide Clinic HC II","ppCqapAOWK5","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Life Health Service Care HC II","kg1mRWqm75y","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Kasangati Town Council","Lifeline Medical Centre HC III","MQc8X7HMfF8","""""","","HC III","PNFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Life Line Medical Clinic HC II","QH8Culk9SaG","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Lifeline Ministries Medical Centre HC II","CtKO7wqdp5x","""""","Functional","HC II","PFP","Private"
"Western Region","Bunyoro","Kiryandongo District","Bweyale Town Council","Life Link Clinic","aKkI1C9G3Q7","""""","Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Kira Division","LifeLink (Kyaliwajala) Hospital","OITLsd78oCi","""""","","Hospital","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Link Medical Centre HC II","SDX1xOAUEKj","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Lifelink (Ntinda) Hospital","KXlCdKDSE53","""""","Functional","Hospital","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Lifemate Medical & Diagnostic Center HC II","N8sGQvUkKk4","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Ministries Medical Centre HC II","tyGyvITbfSC","""""","Functional","HC II","PNFP","CBO"
"Central Region","South Central","Wakiso District","Massajja Division","Lifeplus Medical Centre","b7AMH2eUgJJ","""""","Functional","HC II","PFP","Private"
"Western Region","Tooro","Kyenjojo District","Kigarale Subcounty","Life Point Clinic","acC8VHGDhnu","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Bunamwaya Division","Life Restoration Medical Centre","Sx8OTUNvskf","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Life Saver Medical Centre HC II","kggrthitjzr","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Life Saving Center HC II","Q6Hmgn1bvXQ","""""","Non-Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Wakiso Town Council","Life Saving Medical Centre","RK3lLDD7U84","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Standard Medical Centre HC II","aB5vYQeUHae","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Life Star Clinic HC II","JKgAWkORkg7","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Massajja Division","Life Trust Clinic","mJNMvPENTyq","""""","Functional","","PFP","Private"
"Northern Region","Lango","Oyam District","Minakulu Subcounty","Life Way Drug Shop - Oyam","Nxyd5ugzTrI","""""","Functional","Drug Shop","",""
"Western Region","Tooro","Bunyangabu District","Kibiito Subcounty","Light Medical Centre HC II","LMHH5FRz9wF","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Gulu District","Bardege Division","Light Rays Uganda HC II","JIhuoOFwtAr","{""type"": ""Point"", ""coordinates"": [32.24836, 2.77081]}","Functional","HC II","PNFP","NGO"
"Northern Region","Acholi","Agago District","Adilang Subcounty","Ligiligi HC II","h0zUXZyCyJL","{""type"": ""Point"", ""coordinates"": [33.42654, 2.7527]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bukedi","Tororo District","Nabuyoga Subcounty","Ligingi HC II","ley8cutuvE9","{""type"": ""Point"", ""coordinates"": [33.940449, 0.674503]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Kween District","Benet Subcounty","Likil HC II","WV7VVz9jpuJ","{""type"": ""Point"", ""coordinates"": [34.50784, 1.36596]}","Functional","HC II","PNFP","UCMB"
"Northern Region","West Nile","Maracha District","Oleba Subcounty","Liko HC II","x4EXo9kapwP","""""","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kabarole District","Eastern Division (Kabarole MC)","Lillah Muslim HC II","aYcUHBryDmo","{""type"": ""Point"", ""coordinates"": [30.27954, 0.6575]}","Functional","HC II","PNFP","UMMB"
"Eastern Region","Bukedi","Pallisa District","Puti-Puti Subcounty","Limoto HC II","hHtw3xjbPaG","{""type"": ""Point"", ""coordinates"": [33.73483, 1.1295]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Nakawa Division","Linah Medical Center HC II","jHlmmlPk89f","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nabweru Division","Linah Medical Centre HC III","HIlCMGJzJV2","""""","","HC III","PFP","Private"
"Central Region","South Central","Wakiso District","Kira Division","Lina Medical Clinic","zh8lA0UMzuW","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Lincolin Medical Centre","lPUVbTTgbgO","""""","Functional","","",""
"Central Region","Kampala","Kampala District","Nakawa Division","Linest Medical Center HC II","YJHyibU4rwC","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Buvuma District","Buwooya Subcounty","Lingira (Ywam) Health Centre HC II","OOEbAPdUMTg","{""type"": ""Point"", ""coordinates"": [33.2664, 0.1981]}","Functional","HC II","PNFP","NGO"
"Central Region","Kampala","Kampala District","Nakawa Division","Lion Of Juda Medical Centre HC II","smkk7KfoGk0","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Lions Medical Centre HC II","DC6T8clWX7G","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Lions Medical Centre (Kabowa) HC II","KM8jCDa1qLw","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Lions Medical Centre (Mutundwe) HC II","R0o09ipn1rj","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Lions Medical Laboratory Serlvices HC II","bs1usVrp4Re","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","Lango","Lira District","Central Division (Lira MC)","Lira Army Barracks HC III","DNDNErLjgOa","{""type"": ""Point"", ""coordinates"": [32.90985, 2.24547]}","Functional","HC III","GOV","UPDF"
"Northern Region","Acholi","Agago District","Lapono Subcounty","Lira Kaket HC II","pBrduMkhHQy","{""type"": ""Point"", ""coordinates"": [33.46274, 2.98247]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Agago District","Lapono Subcounty","Lira Kato HC III","a9ZI6jNBqXx","{""type"": ""Point"", ""coordinates"": [33.495932, 2.863642]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Lira District","Adyel Division","Lira (Lira RR Hospital) Regional Blood Bank","N9hh0lpAGYV","""""","Functional","RBB","GOV","UBTS"
"Northern Region","Lango","Lira District","Ojwina Division","Lira Maternity Home HC III","wqmg1s9R0jI","""""","Non-Functional","HC III","PFP","Private"
"Northern Region","Lango","Lira District","Central Division (Lira MC)","Lira Medical Centre Ltd HC III","riFZJMWkiZR","{""type"": ""Point"", ""coordinates"": [32.90658, 2.24702]}","Functional","HC III","PNFP","NGO"
"Northern Region","Lango","Lira District","Central Division (Lira MC)","Lira Municipal HC II","ezwvziar0eJ","{""type"": ""Point"", ""coordinates"": [32.89975, 2.24814]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Agago District","Lira Palwo Subcounty","Lira Palwo HC III","aNM5X9P50rl","{""type"": ""Point"", ""coordinates"": [33.166054, 2.786638]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Lira District","Adyel Division","Lira Police HC II","txg2NyXpr9D","{""type"": ""Point"", ""coordinates"": [32.89991, 2.25461]}","Functional","HC II","GOV","UPF"
"Northern Region","Lango","Lira District","Adyel Division","Lira Prisons HC II","Ry65daFfEML","{""type"": ""Point"", ""coordinates"": [32.90019, 2.2536]}","Functional","HC II","GOV","UPS"
"Northern Region","Lango","Lira District","Adyel Division","Lira Regional Referral Hospital","cK5namCwmbW","{""type"": ""Point"", ""coordinates"": [32.90135, 2.25553]}","Functional","RRH","GOV","MOH"
"Northern Region","Lango","Lira District","Lira Subcounty","Lira University Hospital","nKEtuqJsd9h","""""","Functional","Hospital","GOV","MoES"
"Northern Region","Lango","Lira District","Adyel Division","Lira Women Prison HC II","IzO6YTh95I2","""""","Functional","HC II","","UPS"
"Central Region","Kampala","Kampala District","Rubaga Division","Lisa Medical Centre HC II","Qr3jHz4iqjL","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Lite Medical Centre HC II","PfdZ6TtogiL","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Living Field Clinic HC II","YGujdgvC0rC","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Living Hope Medical Centre HC II","HRQSgLU1WAz","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Mityana District","Central Division (Mityana MC)","Living Proof Community HC III","MxuyoEUEPpk","""""","","HC III","",""
"Central Region","North Central","Buikwe District","Central Division (Lugazi MC)","Living Water Community Medical Centre Clinic","skaKlRXEgCS","""""","Functional","Clinic","PFP","Private"
"Northern Region","Lango","Kole District","Ayer Subcounty","Living Well Drug Shop - Kole","GAStEgT57UV","""""","Functional","Drug Shop","",""
"Northern Region","West Nile","Obongi District","Gimara Subcounty","Liwa HC II","nnsjzfriRM4","{""type"": ""Point"", ""coordinates"": [31.61131, 3.47612]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Kayunga District","Nazigo Subcounty","Liz Memorial Medical Clinic","cYFk19qAWsh","""""","Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Kyengera Town Council","Llm Medical Clinic HC III","VpUx8ILzAVu","""""","","HC III","PFP","Private"
"Northern Region","Karamoja","Karenga District","Lobalangit Subcounty","Lobalangit HC III","dfFefs1HDIs","{""type"": ""Point"", ""coordinates"": [33.77064, 3.428786]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Kei Subcounty","Lobe HC II","nKfY0cXcAxt","{""type"": ""Point"", ""coordinates"": [31.123903, 3.567605]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Kitgum District","Labongo Layamo Subcounty","Loborom HC III","WgmL7qQcVxV","{""type"": ""Point"", ""coordinates"": [32.90965, 3.3761]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Koboko District","Lobule Subcounty","Lobule HC III","cacYqraIAeB","{""type"": ""Point"", ""coordinates"": [31.02399, 3.389]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Koboko District","Lobule Subcounty","Lobule Prison Clinic","lRz1KKqUsJt","""""","Functional","HC II","","UPS"
"Northern Region","Karamoja","Kaabong District","Sidok Subcounty","Lochom HC II","MIOys5Syjk6","{""type"": ""Point"", ""coordinates"": [34.14353, 3.42323]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Romogi Subcounty","Locomgbo HC II","PCEYU4GNDtV","{""type"": ""Point"", ""coordinates"": [31.44421, 3.48476]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Kaabong District","Lodiko Subcounty","Lodiko HC II","Tg20kzyEYXH","""""","Non-Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Lodonga Town Council","Lodonga HC IV","P5GTK5hmugt","{""type"": ""Point"", ""coordinates"": [31.11714, 3.41509]}","Functional","HC IV","PNFP","UCMB"
"Northern Region","West Nile","Arua District","Logiri Subcounty","Logiri HC III","wacjVEN6pwD","{""type"": ""Point"", ""coordinates"": [30.85292, 2.73525]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Moyo District","Moyo Subcounty","Logoba HC III","gJJhhRiJvSi","{""type"": ""Point"", ""coordinates"": [31.71343, 3.65718]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Maracha District","Yivu Subcounty","Loinya HC II","EYFKJlJa6Mp","{""type"": ""Point"", ""coordinates"": [30.97997, 3.29223]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Amudat District","Karita Subcounty","Lokales HC II","emjerwHdu0g","""""","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Kaabong District","Loyoro Subcounty","Lokanayona HC II","bo4RxIQrXvP","{""type"": ""Point"", ""coordinates"": [34.19819, 3.48573]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Kaabong District","Kaabong West Subcounty","Lokerui HC II","BHDGxcwYHhC","{""type"": ""Point"", ""coordinates"": [34.08268, 3.5548]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Kotido District","Kacheri Subcounty","Lokiding HC II","h6mBc3T03Ze","{""type"": ""Point"", ""coordinates"": [33.95675, 3.10615]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Kotido District","Lokitelaebu Town Council","Lokitelaebu HC III","krPNAO6ikKF","{""type"": ""Point"", ""coordinates"": [34.00117, 2.98911]}","Functional","HC III","GOV","MOH"
"Northern Region","Karamoja","Kotido District","Lokitelaebu Town Council","","HoBvLUhUR2B","""""","","","",""
"Northern Region","Karamoja","Kaabong District","Kaabong East Subcounty","Lokolia HC III","uwIGysNI69s","{""type"": ""Point"", ""coordinates"": [34.14074, 3.59385]}","Functional","HC III","GOV","MOH"
"Northern Region","Karamoja","Napak District","Lokopo Subcounty","Lokopo HC III","QKGsjJojbYP","{""type"": ""Point"", ""coordinates"": [34.34206, 2.48399]}","Functional","HC III","GOV","MOH"
